localidad;estrato;valor_ant;unidades_ant;no_pago_ultimo;cluster;no_paga_sig_mes
1;3;83422,64189521896;278,0754729840632;0;0;0
0;2;62615,77445374961;313,07887226874806;0;3;0
0;3;100092,45754860011;333,6415251620004;0;0;0
0;3;126451,65483829548;421,5055161276516;0;0;0
0;4;203821,67099751395;509,5541774937849;1;1;1
1;5;196481,27169667734;392,9625433933547;1;0;1
1;3;98439,11663699319;328,1303887899773;0;0;0
0;4;194134,46495593613;485,33616238984035;1;1;1
0;4;38977,72960077077;97,44432400192693;0;1;0
0;2;61709,61920646694;308,5480960323347;0;3;0
1;1;49547,17220232348;247,73586101161743;0;2;0
1;4;219268,7491843805;548,1718729609512;1;1;1
1;5;634144,3683362535;1268,288736672507;1;0;1
1;4;321294,53514800715;803,2363378700179;1;1;0
1;4;123419,23841293388;308,5480960323347;0;1;0
0;5;427027,86426069314;854,0557285213863;1;0;0
1;7;1816489,3796896492;5189,96965625614;1;0;1
0;4;123419,23841293388;308,5480960323347;0;1;0
0;4;91607,73466262588;229,0193366565647;0;1;0
1;3;99927,9253790918;333,0930845969727;0;0;0
1;3;113204,17950593482;377,34726501978275;0;0;0
0;3;34665,4566383615;115,55152212787166;0;0;0
0;3;109301,81668960044;364,3393889653348;0;0;0
0;3;121527,86998505957;405,09289995019856;0;0;0
1;3;105203,63679876913;350,6787893292304;0;0;0
0;3;92241,63136321247;307,47210454404154;0;0;0
1;4;120561,79565267653;301,4044891316913;0;1;0
0;3;75181,63522031959;250,6054507343986;0;0;0
1;4;63046,3762624384;157,615940656096;0;1;0
1;2;122590,3001764573;612,9515008822865;0;3;0
0;4;393467,5193077708;983,668798269427;1;1;0
0;4;24719,3160632356;61,798290158089;0;1;0
1;1;75722,45901806987;378,61229509034933;0;2;0
1;3;62573,8242295543;208,57941409851435;0;0;0
0;3;62162,00538007637;207,20668460025456;0;0;0
0;2;55200,910532143054;276,00455266071526;0;3;0
1;1;67891,36524658414;339,4568262329207;0;2;0
1;4;123419,23841293388;308,5480960323347;0;1;0
0;2;61709,61920646694;308,5480960323347;0;3;0
1;7;873146,8263884509;2494,705218252717;1;0;1
1;2;38088,77858885504;190,4438929442752;0;3;0
1;5;148572,95778868903;297,14591557737805;1;0;0
1;4;257635,5165344068;644,088791336017;1;1;1
1;3;15642,292060881477;52,14097353627159;0;0;0
0;1;93863,09063291248;469,3154531645624;0;2;0
0;2;87898,24278860731;439,49121394303654;0;3;0
1;5;206991,43444830613;413,9828688966123;1;0;1
0;4;112486,86042420869;281,2171510605217;0;1;0
1;2;114147,09699892794;570,7354849946397;0;3;0
1;4;534569,1844679089;1336,4229611697722;1;1;0
0;5;272218,65057518985;544,4373011503797;1;0;0
1;3;47239,047982624135;157,46349327541378;0;0;0
1;5;301056,47053100413;602,1129410620083;1;0;0
1;5;344386,5177356519;688,7730354713038;1;0;0
0;7;107991,83361131714;308,5480960323347;0;0;0
1;4;66116,92781898969;165,29231954747422;0;1;0
1;2;69772,37568092259;348,861878404613;0;3;0
0;2;56647,93667927655;283,23968339638276;0;3;0
1;2;61709,61920646694;308,5480960323347;0;3;0
0;5;355402,8548019338;710,8057096038676;1;0;0
1;3;75250,06224283931;250,83354080946435;0;0;0
1;3;20414,190916628737;68,04730305542913;0;0;0
1;3;114473,5236499406;381,5784121664687;0;0;0
0;3;110026,48951380793;366,7549650460264;0;0;0
0;4;123419,23841293388;308,5480960323347;0;1;0
1;4;111293,26196073747;278,23315490184365;0;1;0
0;1;73871,0880649162;369,355440324581;0;2;0
1;5;208321,4738915784;416,64294778315684;1;0;1
1;2;68199,68777470938;340,9984388735469;0;3;0
1;4;123419,23841293388;308,5480960323347;0;1;0
1;2;56174,30694286638;280,8715347143319;0;3;0
1;1;61709,61920646694;308,5480960323347;0;2;0
1;3;77839,00460849467;259,46334869498224;0;0;0
1;1;6814,5908871157535;34,072954435578765;0;2;0
1;4;123419,23841293388;308,5480960323347;0;1;0
0;7;107991,83361131714;308,5480960323347;0;0;0
1;2;73003,74916772709;365,0187458386354;0;3;0
1;3;109101,45103653836;363,6715034551279;0;0;0
1;5;164376,04437130355;328,7520887426071;1;0;1
1;3;101472,08343876773;338,24027812922577;0;0;0
0;3;83605,46003615712;278,6848667871904;0;0;0
1;3;54039,39894857244;180,1313298285748;0;0;0
0;5;154274,04801616733;308,5480960323347;1;0;0
0;4;258879,7378482432;647,199344620608;1;1;1
1;3;22871,513790122317;76,23837930040773;0;0;0
1;4;123419,23841293388;308,5480960323347;0;1;0
1;4;292919,6381793026;732,2990954482566;1;1;0
1;3;92564,4288097004;308,5480960323347;0;0;0
1;5;46511,56142969018;93,02312285938035;0;0;0
0;4;123419,23841293388;308,5480960323347;0;1;0
0;3;76762,52523006634;255,87508410022116;0;0;0
0;5;225822,10549078978;451,64421098157953;1;0;1
1;2;8476,395289478922;42,38197644739461;0;3;0
1;3;72500,906298719;241,66968766239665;0;0;0
1;4;97389,61616191689;243,47404040479222;0;1;0
1;3;138212,9666254669;460,7098887515564;1;0;0
1;4;116689,6879704557;291,72421992613926;0;1;0
1;3;124634,94103592153;415,44980345307175;0;0;0
1;2;164572,46835784457;822,8623417892228;1;3;1
0;2;4900,107296579176;24,500536482895882;0;3;0
1;4;220549,70171085707;551,3742542771427;1;1;1
1;5;78487,37404048437;156,97474808096874;0;0;0
0;4;287811,2083206092;719,528020801523;1;1;0
0;5;298966,8143424293;597,9336286848586;1;0;0
1;2;33503,55644835711;167,51778224178554;0;3;0
0;3;100626,94233769516;335,42314112565055;0;0;0
1;2;132400,18837311972;662,0009418655986;1;3;0
0;4;318890,26471864444;797,2256617966111;1;1;0
1;1;81708,93508498922;408,5446754249461;0;2;0
1;3;114526,80908238528;381,7560302746176;0;0;0
1;3;99529,33734193635;331,7644578064545;0;0;0
1;3;127386,59818219682;424,62199394065607;1;0;0
0;3;36055,33277988291;120,1844425996097;0;0;0
1;3;69533,26494633015;231,77754982110048;0;0;0
0;2;44206,526792937206;221,03263396468603;0;3;0
0;4;2288,1339660486674;5,7203349151216685;0;1;0
1;4;147666,34395523486;369,16585988808714;1;1;0
0;4;649116,5495165838;1622,7913737914594;1;1;1
0;3;34433,622882150186;114,77874294050062;0;0;0
1;4;91737,50175063763;229,34375437659406;0;1;0
1;1;138159,6012109112;690,798006054556;1;2;0
1;2;94440,16226443004;472,2008113221502;0;3;0
1;2;105377,27175473062;526,8863587736531;0;3;0
1;3;78288,17792044033;260,9605930681344;0;0;0
1;3;18299,52674522101;60,99842248407003;0;0;0
1;4;350638,2979057876;876,595744764469;1;1;0
0;2;158422,23896251075;792,1111948125538;1;3;1
0;2;97996,57783377435;489,9828891688718;0;3;0
1;3;89168,62233955624;297,2287411318541;0;0;0
0;4;155748,9847343098;389,3724618357745;1;1;0
0;5;357395,9399776286;714,7918799552572;1;0;0
1;3;124365,72539852024;414,55241799506746;0;0;0
1;3;80142,15180235753;267,14050600785845;0;0;0
1;5;261338,3628355255;522,676725671051;1;0;0
1;1;70857,3961387821;354,28698069391055;0;2;0
1;2;112059,96431759058;560,2998215879529;0;3;0
1;5;154274,04801616733;308,5480960323347;1;0;0
1;4;210944,04884630963;527,3601221157741;1;1;1
0;5;182155,45094288187;364,31090188576377;1;0;1
1;7;1612277,1845473358;4606,506241563817;1;0;1
0;3;56905,15980695757;189,6838660231919;0;0;0
0;2;19100,770606671966;95,50385303335983;0;3;0
1;2;118296,2509798152;591,481254899076;0;3;0
0;5;180062,36993225786;360,12473986451573;1;0;1
1;4;277817,9343620225;694,5448359050562;1;1;0
1;4;19710,636406638423;49,27659101659606;0;1;0
1;2;78460,95414878736;392,30477074393684;0;3;0
1;2;23464,636704094763;117,3231835204738;0;3;0
0;2;82796,54588262965;413,98272941314826;0;3;0
1;2;84723,46994205569;423,61734971027846;0;3;0
0;4;15503,243171276903;38,75810792819226;0;1;0
1;3;140081,0815304205;466,93693843473494;1;0;0
1;5;115530,4922548137;231,0609845096274;0;0;0
0;4;157207,93190120044;393,0198297530011;1;1;1
1;3;128684,84540557444;428,94948468524814;1;0;0
0;5;154274,04801616733;308,5480960323347;1;0;1
1;2;48552,7427063868;242,763713531934;0;3;0
1;4;123419,23841293388;308,5480960323347;0;1;0
1;3;69861,37474510206;232,87124915034022;0;0;0
1;3;58412,19033562542;194,7073011187514;0;0;0
0;3;111722,16297666887;372,4072099222296;0;0;0
1;3;58458,98535832255;194,86328452774183;0;0;0
1;2;58732,20012666748;293,6610006333374;0;3;0
1;3;137141,89839516446;457,13966131721486;1;0;0
0;2;70684,59529952079;353,42297649760394;0;3;0
1;3;118118,14368754906;393,72714562516353;0;0;0
0;4;72889,72686156529;182,22431715391323;0;1;0
1;1;23153,624742638272;115,76812371319136;0;2;0
1;3;100100,77115830143;333,6692371943381;0;0;0
0;5;410586,2243456565;821,1724486913131;1;0;1
0;1;37033,78524292803;185,16892621464015;0;2;0
1;5;175633,72897765826;351,2674579553165;1;0;1
0;2;61709,61920646694;308,5480960323347;0;3;0
1;2;47853,44382667854;239,26721913339267;0;3;0
0;4;100384,13481814317;250,96033704535793;0;1;0
1;2;179945,27616039675;899,7263808019837;1;3;1
0;3;132187,9352307282;440,62645076909405;1;0;0
1;7;2702936,2087435974;7722,674882124564;1;0;1
1;3;63963,044261988776;213,21014753996258;0;0;0
0;5;226172,61009189926;452,3452201837985;1;0;1
0;3;55793,463375615844;185,9782112520528;0;0;0
1;3;78507,27149784812;261,6909049928271;0;0;0
0;3;61028,66827351536;203,4288942450512;0;0;0
1;1;63330,53626797258;316,6526813398629;0;2;0
0;5;143211,47513845816;286,4229502769163;1;0;0
1;4;320549,1878626705;801,3729696566763;1;1;0
1;1;41206,08434151418;206,0304217075709;0;2;0
0;1;47528,67656184074;237,6433828092037;0;2;0
0;2;36535,75742126122;182,67878710630612;0;3;0
1;3;121787,1875986107;405,957291995369;0;0;0
1;4;266697,8786400374;666,7446966000934;1;1;0
0;4;301313,10607350635;753,2827651837658;1;1;0
1;3;61412,97841925696;204,70992806418985;0;0;0
0;2;143396,2406880434;716,9812034402171;1;3;0
1;2;34847,90078567287;174,23950392836437;0;3;0
0;2;61709,61920646694;308,5480960323347;0;3;0
0;7;107991,83361131714;308,5480960323347;0;0;0
1;4;270538,63112159254;676,3465778039814;1;1;0
1;2;140763,91845527478;703,8195922763739;1;3;0
1;4;33559,64844199536;83,89912110498841;0;1;0
1;2;59257,84896608328;296,2892448304164;0;3;0
1;3;56640,15939790821;188,8005313263607;0;0;0
1;5;197452,051808328;394,90410361665596;1;0;1
1;4;149191,25462306984;372,9781365576746;1;1;0
1;3;155485,15697358287;518,2838565786095;1;0;1
1;4;297976,00033517636;744,9400008379409;1;1;0
1;3;114279,7819754729;380,93260658490965;0;0;0
1;4;210324,34003694594;525,8108500923648;1;1;1
1;3;57088,53426225337;190,29511420751123;0;0;0
0;4;336135,5604666634;840,3389011666585;1;1;0
0;2;117828,74937142042;589,1437468571021;0;3;0
0;3;75322,3165943717;251,07438864790566;0;0;0
0;2;127837,57233583892;639,1878616791946;1;3;0
1;3;75982,54993058224;253,27516643527417;0;0;0
1;1;110059,39630863618;550,2969815431809;0;2;0
1;4;123419,23841293388;308,5480960323347;0;1;0
0;1;25756,367920332006;128,78183960166004;0;2;0
1;2;166746,00002179263;833,7300001089632;1;3;0
0;3;95574,94369026054;318,5831456342018;0;0;0
1;4;257214,18057089433;643,0354514272358;1;1;0
0;5;138263,89378523483;276,5277875704697;1;0;0
1;4;267674,0031267271;669,1850078168178;1;1;0
1;3;92927,89673556817;309,7596557852272;0;0;0
1;3;73923,087826101;246,41029275366998;0;0;0
1;3;64856,19637070608;216,18732123568694;0;0;0
0;7;6664274,82950004;19040,785227142973;1;0;1
1;5;183624,24723837042;367,24849447674086;1;0;1
0;5;128519,05768579803;257,03811537159606;1;0;0
1;4;141131,32472254484;352,8283118063621;1;1;0
0;3;95480,65910835814;318,26886369452717;0;0;0
1;5;154274,04801616733;308,5480960323347;1;0;0
0;2;79336,57865234418;396,6828932617209;0;3;0
1;3;29689,77920930236;98,96593069767454;0;0;0
0;3;87961,97196558815;293,20657321862717;0;0;0
1;4;284484,8322365792;711,2120805914481;1;1;0
0;3;78517,80336812665;261,72601122708886;0;0;0
1;2;85535,43280369735;427,67716401848674;0;3;0
1;4;123419,23841293388;308,5480960323347;0;1;0
1;3;182920,37513802887;609,7345837934296;1;0;1
1;5;85260,15425899129;170,52030851798258;0;0;0
0;5;60575,04246901627;121,15008493803253;0;0;0
0;3;64418,39701555174;214,72799005183913;0;0;0
0;3;158616,0959541765;528,720319847255;1;0;1
1;3;49788,921748562374;165,9630724952079;0;0;0
1;1;91758,90772989628;458,7945386494814;0;2;0
1;3;41283,38454087365;137,61128180291217;0;0;0
1;3;69642,27098095311;232,1409032698437;0;0;0
0;3;32869,703943496395;109,56567981165466;0;0;0
0;3;42055,670066266786;140,18556688755595;0;0;0
1;4;466182,6468570891;1165,4566171427227;1;1;1
1;3;67945,5392237451;226,485130745817;0;0;0
0;4;130469,60243095832;326,1740060773958;1;1;0
1;5;284205,0774651482;568,4101549302964;1;0;0
1;1;9493,00295466337;47,46501477331685;0;2;0
1;5;112181,60527167177;224,36321054334354;0;0;0
1;3;99415,29921649965;331,3843307216655;0;0;0
1;3;81792,54139578002;272,64180465260006;0;0;0
0;4;459375,48255929234;1148,4387063982308;1;1;0
0;5;383438,50446937914;766,8770089387583;1;0;0
1;4;129345,35222531899;323,3633805632975;1;1;0
0;2;38694,21497230345;193,47107486151725;0;3;0
1;2;155710,9740827491;778,5548704137454;1;3;1
0;4;107982,5619999815;269,95640499995375;0;1;0
0;3;109142,3526175127;363,8078420583757;0;0;0
1;3;142700,88961000316;475,6696320333439;1;0;0
0;4;123419,23841293388;308,5480960323347;0;1;0
1;4;562602,8398744918;1406,5070996862294;1;1;1
1;2;18755,650735404088;93,77825367702044;0;3;0
0;4;50476,30325557733;126,19075813894332;0;1;0
0;3;38008,457314890016;126,69485771630005;0;0;0
1;3;103196,0149364938;343,98671645497933;0;0;0
0;5;425872,23243292543;851,7444648658509;1;0;1
1;4;123419,23841293388;308,5480960323347;0;1;0
1;5;183284,59266108953;366,56918532217907;1;0;1
1;5;219024,94762301922;438,04989524603843;1;0;1
0;1;61709,61920646694;308,5480960323347;0;2;0
0;4;123419,23841293388;308,5480960323347;0;1;0
1;4;22704,497842958197;56,7612446073955;0;1;0
1;2;103392,0774899478;516,960387449739;0;3;0
1;2;62691,94456125345;313,4597228062672;0;3;0
0;3;138952,41033259296;463,1747011086432;1;0;0
0;3;25447,81724395643;84,82605747985477;0;0;0
1;2;28028,14995998492;140,1407497999246;0;3;0
1;2;3413,1313926803045;17,065656963401523;0;3;0
1;3;57470,49028951256;191,56830096504189;0;0;0
1;1;39905,18706753113;199,52593533765565;0;2;0
1;1;55057,122768270856;275,2856138413543;0;2;0
1;1;50891,57807849008;254,4578903924504;0;2;0
1;3;78618,7621459902;262,062540486634;0;0;0
1;5;323961,071441777;647,922142883554;1;0;0
1;2;35061,999632337276;175,30999816168637;0;3;0
1;1;56035,02630317031;280,17513151585155;0;2;0
0;4;46464,8818983546;116,1622047458865;0;1;0
1;4;376046,61482135666;940,1165370533917;1;1;0
1;5;247092,51952607452;494,185039052149;1;0;0
1;4;219665,14609741117;549,1628652435279;1;1;1
0;3;80153,00298934476;267,17667663114923;0;0;0
1;3;107212,10869889717;357,37369566299054;0;0;0
1;1;53943,70970703229;269,71854853516146;0;2;0
0;4;133583,56108678877;333,9589027169719;1;1;0
0;7;677288,4398984864;1935,1098282813896;1;0;1
1;2;138038,7861153864;690,1939305769321;1;3;0
0;5;374577,49974410696;749,1549994882139;1;0;0
1;5;278550,7450627302;557,1014901254605;1;0;0
0;4;308229,41445117875;770,5735361279468;1;1;0
0;3;92190,8699738449;307,3028999128164;0;0;0
0;4;123419,23841293388;308,5480960323347;0;1;0
1;3;72552,53525326516;241,84178417755055;0;0;0
1;3;121963,20070473924;406,5440023491308;0;0;0
0;4;352600,89695751667;881,5022423937917;1;1;0
1;4;62943,46399632499;157,35865999081247;0;1;0
1;2;136469,01105689997;682,3450552844998;1;3;0
1;4;168560,21598797836;421,4005399699459;1;1;0
0;2;95648,14314038426;478,24071570192126;0;3;0
0;3;51709,23230683299;172,3641076894433;0;0;0
0;3;69911,81114414634;233,0393704804878;0;0;0
1;5;111199,71159982451;222,39942319964902;0;0;0
0;2;86963,66742113417;434,8183371056709;0;3;0
1;3;12190,85387646366;40,6361795882122;0;0;0
1;3;50730,5248927602;169,101749642534;0;0;0
1;1;8511,201194388514;42,55600597194257;0;2;0
0;4;123419,23841293388;308,5480960323347;0;1;0
1;5;187155,38756652284;374,3107751330457;1;0;1
0;3;73801,8307714063;246,00610257135435;0;0;0
1;3;78545,11931342634;261,8170643780878;0;0;0
1;2;210954,9411590026;1054,774705795013;1;3;1
0;3;77133,48346150765;257,11161153835883;0;0;0
1;1;86894,15756853308;434,4707878426654;0;2;0
1;4;243423,5319971142;608,5588299927855;1;1;1
1;5;361080,09771650087;722,1601954330017;1;0;1
1;4;38591,733963679755;96,4793349091994;0;1;0
0;2;40104,04014121725;200,52020070608626;0;3;0
1;2;56566,9061207858;282,834530603929;0;3;0
1;2;31408,49537968378;157,0424768984189;0;3;0
0;1;57108,1835409034;285,540917704517;0;2;0
1;4;398286,5389873332;995,716347468333;1;1;0
0;3;67976,90114165976;226,5896704721992;0;0;0
1;1;31661,47869412966;158,3073934706483;0;2;0
1;1;52192,091515719425;260,96045757859713;0;2;0
1;4;181192,19695065962;452,98049237664907;1;1;1
0;2;100502,04366961509;502,51021834807545;0;3;0
1;5;221405,8766599994;442,8117533199988;1;0;1
1;2;84819,08358911921;424,09541794559607;0;3;0
0;5;294650,07745310303;589,3001549062061;1;0;0
0;3;144483,39612564657;481,61132041882195;1;0;0
0;2;125659,20703687097;628,2960351843549;0;3;0
0;3;37517,084761683036;125,05694920561012;0;0;0
0;4;179532,08601982796;448,8302150495699;1;1;1
0;4;211003,23636843308;527,5080909210827;1;1;1
1;1;18764,897719536923;93,82448859768462;0;2;0
1;3;67928,68515011016;226,42895050036722;0;0;0
1;5;181595,159109773;363,190318219546;1;0;1
1;4;282505,6035250805;706,2640088127011;1;1;0
1;3;81565,66956239386;271,88556520797954;0;0;0
1;1;112466,86026422176;562,3343013211088;0;2;0
0;4;32592,472686642715;81,48118171660678;0;1;0
0;3;38382,59408593323;127,9419802864441;0;0;0
1;3;102386,23226308802;341,2874408769601;0;0;0
1;5;141982,6563873167;283,9653127746334;1;0;0
1;4;123419,23841293388;308,5480960323347;0;1;0
0;3;91998,51827656814;306,66172758856044;0;0;0
0;2;61709,61920646694;308,5480960323347;0;3;0
1;2;153196,1976164275;765,9809880821375;1;3;0
1;3;24369,778803539048;81,23259601179683;0;0;0
1;5;264780,5181430555;529,561036286111;1;0;0
0;2;92551,32287292827;462,75661436464134;0;3;0
1;3;103544,66647590538;345,14888825301796;0;0;0
0;1;93966,52593908779;469,832629695439;0;2;0
0;2;34464,68310857575;172,32341554287876;0;3;0
1;5;154274,04801616733;308,5480960323347;1;0;1
1;4;176772,8890418405;441,93222260460124;1;1;1
1;4;8917,333231931956;22,293333079829893;0;1;0
0;4;322873,79007260175;807,1844751815044;1;1;0
1;4;123419,23841293388;308,5480960323347;0;1;0
1;2;111781,331668125;558,906658340625;0;3;0
0;3;55458,52874699205;184,8617624899735;0;0;0
0;3;59322,03277367944;197,74010924559815;0;0;0
0;3;55126,038958236495;183,75346319412165;0;0;0
1;4;197346,27099564605;493,3656774891151;1;1;1
0;3;10875,048266597656;36,250160888658854;0;0;0
1;4;324328,8603119528;810,8221507798821;1;1;0
1;2;98633,35707832736;493,1667853916368;0;3;0
0;3;55217,94758497216;184,0598252832405;0;0;0
0;3;74515,08342013009;248,38361140043364;0;0;0
1;4;191808,7261834427;479,52181545860674;1;1;1
1;3;94334,93273800041;314,4497757933347;0;0;0
1;3;93831,86522863724;312,77288409545747;0;0;0
1;2;33044,23522346239;165,22117611731196;0;3;0
0;3;90518,01951332406;301,7267317110802;0;0;0
1;3;118681,17025531935;395,6039008510645;0;0;0
0;3;122596,78417812713;408,6559472604238;0;0;0
1;3;111121,65430919973;370,4055143639991;0;0;0
1;4;165426,597767658;413,56649441914504;1;1;0
1;5;299358,03390203445;598,7160678040689;1;0;0
0;2;111507,89958270536;557,5394979135268;0;3;0
0;4;53843,105073041115;134,60776268260278;0;1;0
0;1;115143,01376119358;575,7150688059679;0;2;0
0;3;99198,79441813484;330,6626480604495;0;0;0
1;1;36492,20744619089;182,46103723095445;0;2;0
1;3;129801,8580629269;432,6728602097563;1;0;0
1;5;139900,47272250557;279,8009454450111;1;0;0
0;2;61709,61920646694;308,5480960323347;0;3;0
0;3;79981,31860696473;266,6043953565491;0;0;0
0;2;61030,087522832546;305,15043761416274;0;3;0
0;2;58638,90019245492;293,1945009622746;0;3;0
1;4;123419,23841293388;308,5480960323347;0;1;0
1;3;93729,2524111396;312,4308413704654;0;0;0
1;1;18067,232123821123;90,33616061910561;0;2;0
0;3;73527,50111700787;245,09167039002622;0;0;0
0;3;51491,22620406877;171,63742068022924;0;0;0
1;2;88817,53248917243;444,0876624458622;0;3;0
0;5;531478,2226637264;1062,956445327453;1;0;1
0;3;69512,24687757077;231,70748959190257;0;0;0
0;3;125659,98905323859;418,86663017746196;0;0;0
1;3;100086,1464750015;333,620488250005;0;0;0
0;3;109096,94695236278;363,65648984120924;0;0;0
0;3;36061,60031840115;120,2053343946705;0;0;0
0;4;123419,23841293388;308,5480960323347;0;1;0
1;5;136878,51959889982;273,75703919779966;1;0;0
1;4;85263,1466003829;213,15786650095723;0;1;0
0;1;107242,22184329148;536,2111092164574;0;2;0
0;5;89531,85823364364;179,06371646728726;0;0;0
1;3;63289,8887417331;210,966295805777;0;0;0
1;3;75028,57983795542;250,09526612651806;0;0;0
0;4;198223,78160087834;495,5594540021958;1;1;1
1;3;78664,05429887907;262,2135143295969;0;0;0
1;2;115550,35803010146;577,7517901505073;0;3;0
1;2;61709,61920646694;308,5480960323347;0;3;0
1;5;154274,04801616733;308,5480960323347;1;0;0
1;7;3989081,5213481444;11397,375775280412;1;0;1
1;4;123419,23841293388;308,5480960323347;0;1;0
1;2;27389,824184882797;136,949120924414;0;3;0
0;4;123419,23841293388;308,5480960323347;0;1;0
1;3;75702,37256612428;252,3412418870809;0;0;0
1;1;61709,61920646694;308,5480960323347;0;2;0
1;5;19167,187292485494;38,33437458497099;0;0;0
1;3;20699,42997620064;68,9980999206688;0;0;0
1;5;160547,37148882734;321,0947429776547;1;0;1
1;2;73506,1184503522;367,53059225176094;0;3;0
0;3;38951,99549590142;129,83998498633807;0;0;0
1;4;70906,91684078772;177,26729210196928;0;1;0
1;5;188537,17340266905;377,0743468053381;1;0;1
0;4;354085,1198368734;885,2127995921834;1;1;0
1;3;107954,99003330858;359,8499667776953;0;0;0
1;4;54429,20022512368;136,0730005628092;0;1;0
0;1;41660,014781210564;208,30007390605283;0;2;0
1;5;292728,7355684327;585,4574711368655;1;0;0
1;4;426600,8816686616;1066,502204171654;1;1;1
1;4;55108,24475217018;137,77061188042546;0;1;0
1;3;24530,744047018707;81,76914682339569;0;0;0
1;2;98839,75121266441;494,19875606332204;0;3;0
0;3;44088,42071854453;146,9614023951484;0;0;0
0;4;171579,74616470956;428,9493654117739;1;1;1
0;2;56889,606415124115;284,4480320756206;0;3;0
0;2;53557,24555856425;267,78622779282125;0;3;0
0;4;94151,11574985465;235,37778937463662;0;1;0
0;2;55951,51606899259;279,75758034496295;0;3;0
0;5;454785,7252529416;909,5714505058831;1;0;1
1;4;123419,23841293388;308,5480960323347;0;1;0
1;4;123419,23841293388;308,5480960323347;0;1;0
1;3;102697,15482118298;342,32384940394326;0;0;0
1;3;105781,50205975477;352,60500686584925;0;0;0
0;3;49603,29594786772;165,34431982622573;0;0;0
1;4;123419,23841293388;308,5480960323347;0;1;0
1;1;20851,038599960248;104,25519299980124;0;2;0
1;4;123419,23841293388;308,5480960323347;0;1;0
1;3;142177,25467166756;473,9241822388919;1;0;0
1;3;124847,13508713577;416,15711695711923;0;0;0
1;4;3580,1311564707476;8,950327891176869;0;1;0
0;5;294306,07127062714;588,6121425412543;1;0;0
1;3;91195,96295190357;303,9865431730119;0;0;0
0;3;94689,79182198063;315,6326394066021;0;0;0
1;4;39812,471037613774;99,53117759403443;0;1;0
1;5;472292,7590673034;944,5855181346068;1;0;1
0;4;292484,67355025833;731,2116838756458;1;1;0
0;2;89451,73653189863;447,25868265949316;0;3;0
1;2;76462,01124116068;382,31005620580345;0;3;0
1;4;504423,65879902197;1261,059146997555;1;1;1
1;2;61709,61920646694;308,5480960323347;0;3;0
1;4;197814,78047160283;494,5369511790071;1;1;1
0;3;58369,45043957001;194,56483479856672;0;0;0
0;4;250657,78945628298;626,6444736407075;1;1;0
1;1;45123,37333933594;225,61686669667972;0;2;0
1;4;103072,9616034195;257,68240400854876;0;1;0
